Date,Open,High,Low,Close,Adj Close,Volume,Previous_open,Previous_high,Previous_low
17-07-2021,1.171585,1.193662,1.152655,1.172302,1.172302,1487211065,,,
18-07-2021,1.172851,1.216031,1.170776,1.183698,1.183698,1354296229,1.171585,1.193662,1.152655
19-07-2021,1.181999,1.190931,1.117248,1.121116,1.121116,1061358016,1.172851,1.216031,1.170776
20-07-2021,1.12276,1.134648,1.021433,1.056291,1.056291,1782242052,1.181999,1.190931,1.117248
21-07-2021,1.054299,1.221106,1.038182,1.168098,1.168098,2074843118,1.12276,1.134648,1.021433
22-07-2021,1.170252,1.206679,1.152134,1.186161,1.186161,1494732916,1.054299,1.221106,1.038182
23-07-2021,1.18625,1.207033,1.147738,1.206307,1.206307,1215895311,1.170252,1.206679,1.152134
24-07-2021,1.207072,1.247973,1.199018,1.233497,1.233497,1227752700,1.18625,1.207033,1.147738
25-07-2021,1.233566,1.238433,1.191617,1.228501,1.228501,1036357455,1.207072,1.247973,1.199018
26-07-2021,1.228722,1.399011,1.224362,1.258493,1.258493,3004669560,1.233566,1.238433,1.191617
27-07-2021,1.255928,1.314803,1.21536,1.278446,1.278446,2145865207,1.228722,1.399011,1.224362
28-07-2021,1.280826,1.316583,1.260048,1.283504,1.283504,1793329178,1.255928,1.314803,1.21536
29-07-2021,1.286494,1.299072,1.260992,1.284084,1.284084,1466954743,1.280826,1.316583,1.260048
30-07-2021,1.285791,1.317354,1.250495,1.308952,1.308952,1556740433,1.286494,1.299072,1.260992
31-07-2021,1.309885,1.332403,1.28886,1.322345,1.322345,1312376664,1.285791,1.317354,1.250495
01-08-2021,1.319958,1.386737,1.30027,1.31773,1.31773,1862585305,1.309885,1.332403,1.28886
02-08-2021,1.31577,1.349569,1.296775,1.310068,1.310068,1431593693,1.319958,1.386737,1.30027
03-08-2021,1.30939,1.382737,1.263189,1.365026,1.365026,2100675041,1.31577,1.349569,1.296775
04-08-2021,1.369783,1.392539,1.324366,1.376564,1.376564,1899638009,1.30939,1.382737,1.263189
05-08-2021,1.376939,1.397315,1.34052,1.386145,1.386145,1722512650,1.369783,1.392539,1.324366
06-08-2021,1.386193,1.424119,1.363699,1.401786,1.401786,1882912649,1.376939,1.397315,1.34052
07-08-2021,1.402523,1.484598,1.39675,1.470677,1.470677,2489155525,1.386193,1.424119,1.363699
08-08-2021,1.473097,1.494273,1.408625,1.42783,1.42783,1977739378,1.402523,1.484598,1.39675
09-08-2021,1.426617,1.498564,1.394436,1.47764,1.47764,1821319632,1.473097,1.494273,1.408625
10-08-2021,1.475262,1.699575,1.458569,1.672566,1.672566,3460499377,1.426617,1.498564,1.394436
11-08-2021,1.677949,1.894406,1.670661,1.798038,1.798038,6144078169,1.475262,1.699575,1.458569
12-08-2021,1.795803,1.866757,1.684125,1.823878,1.823878,5590812297,1.677949,1.894406,1.670661
13-08-2021,1.83276,2.145926,1.828374,2.136079,2.136079,7661020085,1.795803,1.866757,1.684125
14-08-2021,2.138287,2.25036,2.093593,2.191687,2.191687,7965959274,1.83276,2.145926,1.828374
15-08-2021,2.189896,2.248431,2.039562,2.169153,2.169153,5964077684,2.138287,2.25036,2.093593
16-08-2021,2.167868,2.19545,2.051724,2.079417,2.079417,4479074279,2.189896,2.248431,2.039562
17-08-2021,2.072315,2.141046,1.912754,1.926601,1.926601,3862425430,2.167868,2.19545,2.051724
18-08-2021,1.92448,2.161289,1.887675,2.10856,2.10856,4919304569,2.072315,2.141046,1.912754
19-08-2021,2.105524,2.449876,2.047941,2.42814,2.42814,8287149082,1.92448,2.161289,1.887675
20-08-2021,2.437795,2.575276,2.378612,2.457702,2.457702,8323304733,2.105524,2.449876,2.047941
21-08-2021,2.457214,2.528989,2.387616,2.435435,2.435435,4710945373,2.437795,2.575276,2.378612
22-08-2021,2.436862,2.718612,2.433664,2.713725,2.713725,6726764969,2.457214,2.528989,2.387616
23-08-2021,2.708616,2.967398,2.693827,2.917386,2.917386,9761269047,2.436862,2.718612,2.433664
24-08-2021,2.920038,2.947403,2.598319,2.721091,2.721091,9395142433,2.708616,2.967398,2.693827
25-08-2021,2.725629,2.795994,2.608796,2.738132,2.738132,6920886097,2.920038,2.947403,2.598319
26-08-2021,2.741166,2.783461,2.473766,2.535528,2.535528,6555135612,2.725629,2.795994,2.608796
