Date,Open,High,Low,Close,Adj Close,Volume,Previous_open,Previous_high,Previous_low
17-07-2021,31397.30859,31935.94531,31223.99023,31533.06836,31533.06836,18895018942.00,NA,NA,NA
18-07-2021,31533.88477,32398.99609,31215.49219,31796.81055,31796.81055,18787986667.00,31397.30859,31935.94531,31223.99023
19-07-2021,31800.01172,31885.85938,30563.73438,30817.83203,30817.83203,20434789545.00,31533.88477,32398.99609,31215.49219
20-07-2021,30838.28516,31006.1875,29360.95508,29807.34766,29807.34766,23148267245.00,31800.01172,31885.85938,30563.73438
21-07-2021,29796.28516,32752.32617,29526.18359,32110.69336,32110.69336,28203024559.00,30838.28516,31006.1875,29360.95508
22-07-2021,32138.87305,32576.40039,31745.29883,32313.10547,32313.10547,19555230518.00,29796.28516,32752.32617,29526.18359
23-07-2021,32305.95898,33581.55078,32057.89258,33581.55078,33581.55078,22552046192.00,32138.87305,32576.40039,31745.29883
24-07-2021,33593.73047,34490.39063,33424.85938,34292.44531,34292.44531,21664706865.00,32305.95898,33581.55078,32057.89258
25-07-2021,34290.29297,35364.92578,33881.83594,35350.1875,35350.1875,20856685287.00,33593.73047,34490.39063,33424.85938
26-07-2021,35384.03125,40499.67578,35287.3125,37337.53516,37337.53516,51022126212.00,34290.29297,35364.92578,33881.83594
27-07-2021,37276.03516,39406.94141,36441.72656,39406.94141,39406.94141,35097370560.00,35384.03125,40499.67578,35287.3125
28-07-2021,39503.1875,40816.07031,38862.4375,39995.90625,39995.90625,38702404695.00,37276.03516,39406.94141,36441.72656
29-07-2021,39995.45313,40593.07031,39352.05859,40008.42188,40008.42188,27167146027.00,39503.1875,40816.07031,38862.4375
30-07-2021,40027.48438,42235.54688,38397.35547,42235.54688,42235.54688,33072782960.00,39995.45313,40593.07031,39352.05859
31-07-2021,42196.30469,42231.44922,41110.83203,41626.19531,41626.19531,25802845343.00,40027.48438,42235.54688,38397.35547
01-08-2021,41460.84375,42541.67969,39540.94141,39974.89453,39974.89453,26688438115.00,42196.30469,42231.44922,41110.83203
02-08-2021,39907.26172,40419.17969,38746.34766,39201.94531,39201.94531,25595265436.00,41460.84375,42541.67969,39540.94141
03-08-2021,39178.40234,39750.03125,37782.05078,38152.98047,38152.98047,26189830450.00,39907.26172,40419.17969,38746.34766
04-08-2021,38213.33203,39952.29688,37589.16406,39747.50391,39747.50391,25372562724.00,39178.40234,39750.03125,37782.05078
05-08-2021,39744.51563,41341.93359,37458.00391,40869.55469,40869.55469,35185031017.00,38213.33203,39952.29688,37589.16406
06-08-2021,40865.86719,43271.66016,39932.17969,42816.5,42816.5,38226483046.00,39744.51563,41341.93359,37458.00391
07-08-2021,42832.79688,44689.85938,42618.56641,44555.80078,44555.80078,40030862141.00,40865.86719,43271.66016,39932.17969
08-08-2021,44574.4375,45282.35156,43331.91016,43798.11719,43798.11719,36302664750.00,42832.79688,44689.85938,42618.56641
09-08-2021,43791.92578,46456.83203,42848.6875,46365.40234,46365.40234,38734079049.00,44574.4375,45282.35156,43331.91016
10-08-2021,46280.84766,46637.98828,44705.55469,45585.03125,45585.03125,33546019517.00,43791.92578,46456.83203,42848.6875
11-08-2021,45599.70313,46735.63281,45351.71094,45593.63672,45593.63672,34319709073.00,46280.84766,46637.98828,44705.55469
12-08-2021,45576.87891,46228.91016,43861.44531,44428.28906,44428.28906,33723620826.00,45599.70313,46735.63281,45351.71094
