Date,Open,High,Low,Close,Adj Close,Volume,Previous_week_open,Previous_week_high,Previous_week_low
12-07-2021,302.934845,309.114258,295.387482,302.480499,302.480499,2553327026,,,
19-07-2021,302.268219,307.840515,255.850754,302.436157,302.436157,11632883272,302.934845,309.114258,295.387482
26-07-2021,302.73288,347.417603,298.481812,333.484009,333.484009,12548819789,302.268219,307.840515,255.850754
02-08-2021,332.923218,359.750214,318.062836,342.064758,342.064758,10618524527,302.73288,347.417603,298.481812
09-08-2021,341.91629,418.921265,333.671448,414.595032,414.595032,14132365540,332.923218,359.750214,318.062836
16-08-2021,414.357666,460.255707,387.815887,449.053497,449.053497,16429618762,341.91629,418.921265,333.671448
23-08-2021,449.105469,518.756348,447.666382,480.28302,480.28302,19406839599,414.357666,460.255707,387.815887
30-08-2021,480.289948,510.057648,452.485168,504.619873,504.619873,15274446627,449.105469,518.756348,447.666382
06-09-2021,504.69809,508.822235,372.302948,416.683228,416.683228,17557054534,480.289948,510.057648,452.485168
13-09-2021,416.7966,436.416351,385.376038,408.471649,408.471649,11423354780,504.69809,508.822235,372.302948
20-09-2021,408.51355,409.643311,320.368744,344.181763,344.181763,13072712359,416.7966,436.416351,385.376038
27-09-2021,344.651703,438.107025,330.073853,430.50882,430.50882,12357646959,408.51355,409.643311,320.368744
04-10-2021,430.584503,449.935883,402.829254,405.069305,405.069305,12663318609,344.651703,438.107025,330.073853
11-10-2021,404.527466,483.5578,392.57077,470.625549,470.625549,18606454917,430.584503,449.935883,402.829254
18-10-2021,470.914429,505.267944,467.422363,476.633118,476.633118,13196302902,404.527466,483.5578,392.57077
25-10-2021,475.924255,539.938843,440.445007,524.364441,524.364441,14729664165,470.914429,505.267944,467.422363
01-11-2021,524.73822,669.345825,512.17627,650.454041,650.454041,19237844247,475.924255,539.938843,440.445007
08-11-2021,650.467407,662.306519,578.07428,650.918091,650.918091,17439489332,524.73822,669.345825,512.17627
15-11-2021,650.943115,660.044189,518.423096,585.29425,585.29425,18414656668,650.467407,662.306519,578.07428
22-11-2021,584.815796,657.512939,554.270264,611.366821,611.366821,20105763538,650.943115,660.044189,518.423096
29-11-2021,611.762634,650.253174,495.132263,557.783081,557.783081,19728660486,584.815796,657.512939,554.270264
06-12-2021,557.949768,616.647339,534.263672,570.823975,570.823975,15281448886,611.762634,650.253174,495.132263
13-12-2021,571.177429,572.882385,503.037476,529.972046,529.972046,12012954413,557.949768,616.647339,534.263672
20-12-2021,529.728027,554.125061,506.370361,546.994995,546.994995,10952900960,571.177429,572.882385,503.037476
27-12-2021,546.507874,571.548889,507.885712,531.396667,531.396667,14187184380,529.728027,554.125061,506.370361
03-01-2022,531.388855,532.095581,419.195465,438.80307,438.80307,23450192709,546.507874,571.548889,507.885712
10-01-2022,438.785645,505.300964,408.698792,498.427917,498.427917,23689202004,531.388855,532.095581,419.195465
17-01-2022,498.506165,498.943909,340.05481,383.93396,383.93396,18564261532,438.785645,505.300964,408.698792
24-01-2022,384.040619,400.152069,337.853943,377.612915,377.612915,13929142035,498.506165,498.943909,340.05481
31-01-2022,377.648987,430.347778,360.491333,419.545563,419.545563,10450709210,384.040619,400.152069,337.853943
07-02-2022,419.666443,444.288605,393.977325,398.88678,398.88678,11880993201,377.648987,430.347778,360.491333
14-02-2022,398.643127,436.248108,376.007965,380.825928,380.825928,11301421474,419.666443,444.288605,393.977325
21-02-2022,380.736542,393.624084,324.483673,360.531036,360.531036,13578480691,398.643127,436.248108,376.007965
28-02-2022,360.382172,418.48996,356.617584,375.0112,375.0112,12764678471,380.736542,393.624084,324.483673
07-03-2022,375.071594,402.028076,361.150879,361.849823,361.849823,12278499393,360.382172,418.48996,356.617584
14-03-2022,361.834534,406.003723,360.301849,390.768372,390.768372,10773895727,375.071594,402.028076,361.150879
21-03-2022,390.738953,431.025574,386.561371,430.503265,430.503265,11189574719,361.834534,406.003723,360.301849
28-03-2022,430.546814,455.228455,414.74939,450.348877,450.348877,16050509064,390.738953,431.025574,386.561371
04-04-2022,450.264557,459.805573,417.601044,418.590668,418.590668,13727105544,430.546814,455.228455,414.74939
11-04-2022,418.658447,426.80722,392.109924,407.377716,407.377716,11234555091,450.264557,459.805573,417.601044
18-04-2022,407.432922,430.975159,397.149658,399.105377,399.105377,12478272041,418.658447,426.80722,392.109924
25-04-2022,399.129913,410.175781,377.289948,390.281982,390.281982,12161302562,407.432922,430.975159,397.149658
02-05-2022,390.261261,412.40036,351.143768,355.398743,355.398743,12026516279,399.129913,410.175781,377.289948
09-05-2022,355.377411,358.950714,216.361496,312.007721,312.007721,21034366669,390.261261,412.40036,351.143768
16-05-2022,312.084137,322.857025,287.2146,319.609009,319.609009,11185360894,355.377411,358.950714,216.361496
23-05-2022,319.51712,336.666046,292.141876,305.975067,305.975067,14199404720,312.084137,322.857025,287.2146
30-05-2022,305.944092,323.885071,293.863068,298.934723,298.934723,9468465550,319.51712,336.666046,292.141876
06-06-2022,298.984589,311.699707,251.99144,255.950882,255.950882,9124680135,305.944092,323.885071,293.863068
13-06-2022,255.667725,256.854309,184.540054,214.920532,214.920532,12247942777,298.984589,311.699707,251.99144
20-06-2022,214.879745,244.665466,205.166824,233.858749,233.858749,7468386034,255.667725,256.854309,184.540054
27-06-2022,233.833664,241.423248,205.926666,218.980316,218.980316,6800826772,214.879745,244.665466,205.166824
04-07-2022,218.978607,246.683014,215.21373,234.655579,234.655579,7798625428,233.833664,241.423248,205.926666
11-07-2022,234.599365,250.758759,216.816803,249.593872,249.593872,7384484063,218.978607,246.683014,215.21373
17-07-2022,249.925842,255.142746,246.953842,251.611877,251.611877,1191672192,234.599365,250.758759,216.816803
